Title,Effective date,No,Year,Actions,Variations to the standard definition of Environmentally  Sensitive Area
Albury Local Environmental Plan 2010,31-10-2025,433,2010,,"(ja)  land within the Landfill Buffer Area,"
,,,,,(jb)  land to which clause 7.5 applies.
Armidale Regional Local Environmental Plan 2012,27-02-2026,589,2012,,Nil
Ballina Local Environmental Plan 2012,12-12-2025,20,2013,,"(ja)  land the subject of a conservation agreement within the meaning of the National Parks and Wildlife Act 1974,"
,,,,,"(jb)  land the subject of a Trust agreement within the meaning of the Nature Conservation Trust Act 2001,"
,,,,,"(jc)  land the subject of a property vegetation plan within the meaning of the Native Vegetation Act 2003,"
,,,,,"(jd)  land the subject of a biobanking agreement within the meaning of Part 7A of the Threatened Species Conservation Act 1995,"
,,,,,(je)  land identified as “Hazard Area” on the Coastal Hazard Areas Map.
Balranald Local Environmental Plan 2010,19-09-2025,363,2010,,(ja)  land to which clauses 6.5 and 6.6 apply.
Bathurst Regional Local Environmental Plan 2014,19-09-2025,729,2014,,
Bayside Local Environmental Plan 2021,07-11-2025,498,2021,,
Bega Valley Local Environmental Plan 2013,17-10-2025,408,2013,,
Bellingen Local Environmental Plan 2010,19-09-2025,418,2010,,"(ja)  land that has been used for intensive agriculture, mining, waste storage or treatment, the manufacture of chemicals, asbestos or asbestos products or used as a service station or a sheep or cattle dip."
Berrigan Local Environmental Plan 2013,19-09-2025,587,2013,,
Blacktown Local Environmental Plan 2015,06-02-2026,239,2015,,
Bland Local Environmental Plan 2011,19-09-2025,639,2011,,
Blayney Local Environmental Plan 2012,19-09-2025,573,2012,,
Blue Mountains Local Environmental Plan 2015,24-10-2025,829,2015,,
Bogan Local Environmental Plan 2011,19-09-2025,640,2011,,
Bombala Local Environmental Plan 2012,19-09-2025,302,2012,, Exempt or complying development for the following purposes must not be carried out on the following land—
,,,,,"(a)  in the case of the erection of buildings, land within 100 metres of the top of the bank of the Bombala River, the Delegate River or the Coolumbooka River,"
