Document Name,URL
327-335 Burley Road Horsley Park Development Control Plan,https://app.propcode.com.au/library/document/nsw/327-335-burley-road-dcp/html
380 Motorway Link Road Wallarah Development Control Plan,https://app.propcode.com.au/library/document/nsw/380-motorway-link-road-wallarah-dcp/html
Albury Development Control Plan 2010,https://app.propcode.com.au/library/document/nsw/albury-dcp-2010/html
Armidale Regional Council Development Control Plan 2024,https://app.propcode.com.au/library/document/nsw/armidale-dcp-2024/html
Ballina Shire Development Control Plan 2012,https://app.propcode.com.au/library/document/nsw/ballina-dcp-2012/html
Batemans Bay Regional Centre Development Control Plan,https://app.propcode.com.au/library/document/nsw/batemans-bay-regional-centre-dcp/html
Bathurst Regional Development Control Plan 2014,https://app.propcode.com.au/library/document/nsw/bathurst-dcp-2014/html
Bayside Development Control Plan 2022,https://app.propcode.com.au/library/document/nsw/bayside-dcp-2022/html
Bega Valley Shire Development Control Plan 2013,https://app.propcode.com.au/library/document/nsw/bega-valley-dcp-2013/html
Bellingen Shire Development Control Plan 2017,https://app.propcode.com.au/library/document/nsw/bellingen-dcp-2017/html
Berrigan Development Control Plan 2014,https://app.propcode.com.au/library/document/nsw/berrigan-dcp-2014-dcp/html
Berrima DCP,https://app.propcode.com.au/library/document/nsw/berrima-village-dcp/html
Blacktown City Council Growth Centre Precincts Development Control Plan 2010,https://app.propcode.com.au/library/document/nsw/blacktown-growth-centre-dcp-2010/html
Blacktown Development Control Plan 2015,https://app.propcode.com.au/library/document/nsw/blacktown-dcp-2015/html
Bland Shire Development Control Plan 2012,https://app.propcode.com.au/library/document/nsw/bland-dcp-2012/html
Blayney Shire Development Control Plan 2018,https://app.propcode.com.au/library/document/nsw/blayney-dcp-2018/html
Blue Mountains Development Control Plan 2015,https://app.propcode.com.au/library/document/nsw/blue-mountains-dcp-2015/html
Bodalla Village Development Control Plan,https://app.propcode.com.au/library/document/nsw/bodalla-village-dcp/html
Bogan Shire Council Development Control Plan 2012,https://app.propcode.com.au/library/document/nsw/bogan-dcp-2012/html
Boggy Creek Road Urban Release Area Development Control Plan,https://app.propcode.com.au/library/document/nsw/dcp-boggy-creek-road-urban-release-area/html
Bombala Development Control Plan 2012,https://app.propcode.com.au/library/document/nsw/bombara-dcp-2012/html
Bonnyrigg Town Centre DCP 2018,https://app.propcode.com.au/library/document/nsw/bonnyrigg-town-centre-dcp-2018/html
Bourke Development Control Plan 2012,https://app.propcode.com.au/library/document/nsw/bourke-dcp-2012/html
Bowral DCP,https://app.propcode.com.au/library/document/nsw/bowral-town-plan-dcp/html
Box Hill Growth Centre Precincts Development Control Plan,https://app.propcode.com.au/library/document/nsw/box-hill-growth-centre-precincts-dcp-2018/html
Braidwood Development Control Plan 2006,https://app.propcode.com.au/library/document/nsw/braidwood-dcp-2006/html
Brewarrina Development Control Plan 2023,https://app.propcode.com.au/library/document/nsw/brewarrina-dcp-2011/html
Broken Hill Development Control Plan 2016,https://app.propcode.com.au/library/document/nsw/broken-hill-dcp-2016/html
Bundanoon DCP,https://app.propcode.com.au/library/document/nsw/bundanoon-town-plan-dcp/html
Bungarribee Precinct Development Design Code,https://app.propcode.com.au/library/document/nsw/bungarribee-design-code/html
Burrawang DCP,https://app.propcode.com.au/library/document/nsw/burrawang-village-dcp/html
Burwood Development Control Plan,https://app.propcode.com.au/library/document/nsw/burwood-dcp/html
Byron Shire Development Control Plan 2010,https://app.propcode.com.au/library/document/nsw/byron-dcp-2010/html
Byron Shire Development Control Plan 2014,https://app.propcode.com.au/library/document/nsw/byron-dcp-2014/html
Cabramatta Town Centre DCP,https://app.propcode.com.au/library/document/nsw/cabramatta-town-centre-dcp-no52000/html
Calderwood Development Control Plan,https://app.propcode.com.au/library/document/nsw/calderwood-dcp/html
Camden Development Control Plan 2019,https://app.propcode.com.au/library/document/nsw/camden-dcp-2019/html
Camden Growth Centre Precincts Development Control Plan,https://app.propcode.com.au/library/document/nsw/camden-growth-centre-dcp/html
Campbelltown (Sustainable City) Development Control Plan 2015,https://app.propcode.com.au/library/document/nsw/campbelltown-sustainable-city-dcp-2015/html
Campbelltown Growth Centres Development Control Plan,https://app.propcode.com.au/library/document/nsw/campbelltown-east-leppington-dcp-2013/html
Canley Corridor DCP,https://app.propcode.com.au/library/document/nsw/canley-corridor-dcp-no-37/html
Canterbury-Bankstown Development Control Plan 2023,https://app.propcode.com.au/library/document/nsw/canterbury-bankstown-dcp-2023/html
Carter Street Precinct Development Framework 2020,https://app.propcode.com.au/library/document/nsw/carter-street-precinct-2020/html
Catherine Hill Bay (South) Development Control Plan 2012,https://app.propcode.com.au/library/document/nsw/catherine-hill-bay-south-dcp-2012/html
Central Coast Development Control Plan 2022,https://app.propcode.com.au/library/document/nsw/central-coast-dcp-2022/html
Central Darling Development Control Plan 2024,https://app.propcode.com.au/library/document/nsw/central-darling-dcp-2024/html
Cessnock Development Control Plan 2010,https://app.propcode.com.au/library/document/nsw/cessnock-dcp-2010/html
City of Newcastle Development Control Plan 2023,https://app.propcode.com.au/library/document/nsw/newcastle-dcp-2023/html
City of Ryde Development Control Plan 2014,https://app.propcode.com.au/library/document/nsw/ryde-dcp-2014/html
Clarence Valley Council Development Control Plan - Development in Business Zones,https://app.propcode.com.au/library/document/nsw/clarence-valley-business-zones-dcp-2011-am-no-4/html
Clarence Valley Council Development Control Plan - Development in Environmental Protection Recreation and Special Use Zones,https://app.propcode.com.au/library/document/nsw/clarence-valley-dcp-e-and-other-zones-2011/html
Clarence Valley Council Development Control Plan - Development in Industrial Zones,https://app.propcode.com.au/library/document/nsw/clarence-valley-industrial-zones-dcp/html
Clarence Valley Council Development Control Plan - Development in Residential Zones,https://app.propcode.com.au/library/document/nsw/clarence-valley-residential-zones-dcp-2011/html
Clarence Valley Council Development Control Plan - Development in Rural Zones,https://app.propcode.com.au/library/document/nsw/clarence-valley-dcp-rural-zones-2011/html
Coffs Harbour Development Control Plan 2015,https://app.propcode.com.au/library/document/nsw/coffs-harbour-dcp-2015/html
Coleambally & Darlington Point Development Control Plan,https://app.propcode.com.au/library/document/nsw/dcp-no-1-murrumbidgee-council/html
Comprehensive Inner West Development Control Plan 2016 for Ashbury Ashfield Croydon Croydon Park Haberfield Hurlstone Park and Summer Hill,https://app.propcode.com.au/library/document/nsw/inner-west-comprehensive-dcp-2016/html
Coolamon Development Control Plan 2015,https://app.propcode.com.au/library/document/nsw/coolamon-dcp-2015/html
Cooma-Monaro Shire Development Control Plan 2014,https://app.propcode.com.au/library/document/nsw/cooma-monaro-dcp-2014-am-1/html
Cootamundra Development Control Plan 2013,https://app.propcode.com.au/library/document/nsw/cootamundra-dcp-2013/html
Corowa Shire Council Development Control Plan,https://app.propcode.com.au/library/document/nsw/corowa-dcp-2013/html
Cowra Shire Council Development Control Plan 2021,https://app.propcode.com.au/library/document/nsw/cowra-dcp-2021/html
Cumberland Development Control Plan 2021,https://app.propcode.com.au/library/document/nsw/cumberland-dcp-2021/html
DCP 10 - Flood Prone Land in Molong,https://app.propcode.com.au/library/document/nsw/cabonne-dcp-no-10-molong-flood-prone-land/html
DCP 13 - Advertising Signage in Conservation Areas (Molong and Canowindra),https://app.propcode.com.au/library/document/nsw/cabonne-dcp-no-13-advertising-signage-in/html
DCP 15 - Relocatable and Transportable Homes - Amendment 1,https://app.propcode.com.au/library/document/nsw/cabonne-dcp-no-15-relocatable-homes/html
DCP 16 - Interim Guidelines for Development of Flood Prone Land in Eugowra- Amendment 1,https://app.propcode.com.au/library/document/nsw/cabonne-dcp-no-16-eugowra-flood/html
DCP 2 - West Canowindra Rural Small Holdings,https://app.propcode.com.au/library/document/nsw/cabonne-dcp-no-2-west-canowindra/html
DCP 3 - Weemelah Rural Small Holdings,https://app.propcode.com.au/library/document/nsw/cabonne-dcp-no-3-weemeelah-rural-small-holdings/html
DCP 4 - Longs Corner Road Rural Small Holdings,https://app.propcode.com.au/library/document/nsw/cabonne-dcp-no-4-longs-corner-road/html
DCP 5 - General Rural Zones,https://app.propcode.com.au/library/document/nsw/cabonne-dcp-no-5-general-rural-zones/html
DCP 6 - Rural Small Holdings,https://app.propcode.com.au/library/document/nsw/cabonne-dcp-no-6-rural-small-holdings/html
DCP 7 - North Street Canowindra Industrial,https://app.propcode.com.au/library/document/nsw/cabonne-dcp-no-7-north-street-canowindra-industrial/html
DCP 8 - North Molong Industrial,https://app.propcode.com.au/library/document/nsw/cabonne-dcp-no-8-north-molong-industry/html
DCP 9 - Strathnook Lane Rural Small Holdings,https://app.propcode.com.au/library/document/nsw/cabonne-dcp-no-9-strathnook-lane-rural-small-holdings/html
DCP Appendices - Flood Planning Area Maps,https://app.propcode.com.au/library/document/nsw/clarence-valley-dcp-appendices/html
DCP No. 1 - Non-urban development,https://app.propcode.com.au/library/document/nsw/griffith-dcp-no-1-non-urban/html
DCP No. 11 - Urban Subdivision,https://app.propcode.com.au/library/document/nsw/griffith-dcp-no-11/html
DCP No. 19 - Mixed development,https://app.propcode.com.au/library/document/nsw/dcp-no-19-mixed/html
DCP No. 20 - Parking (2011),https://app.propcode.com.au/library/document/nsw/dcp-no-20-off-street-parking-2011/html
DCP No. 3 - Industrial Development,https://app.propcode.com.au/library/document/nsw/dcp-no-3-industrial/html
DCP1 Annexure - Development Requirements for Industrial Land Use,https://app.propcode.com.au/library/document/nsw/coonamble-township-and-surrounds-annexure-a/html
